epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,544.262,0.96357,0.7214,1.13798,0.8703,0.71282,0.82065,0.48932,1.63178,1.00197,1.47437,0.0012332,0.0012332,0.0012332
94,550.062,0.96568,0.70887,1.13068,0.87708,0.67835,0.78256,0.46492,1.6597,1.08008,1.49427,0.00122848,0.00122848,0.00122848
95,555.978,0.97885,0.72788,1.12577,0.75299,0.77875,0.80381,0.50701,1.55823,0.99628,1.42327,0.00122377,0.00122377,0.00122377
96,561.866,0.96336,0.69364,1.13718,0.71453,0.83169,0.83628,0.52648,1.53309,0.97477,1.40745,0.00121905,0.00121905,0.00121905
97,567.569,0.96918,0.68246,1.13344,0.77067,0.74869,0.77948,0.49963,1.56337,0.99206,1.40461,0.00121434,0.00121434,0.00121434
98,573.379,0.97222,0.73349,1.14102,0.79784,0.75165,0.83486,0.52652,1.55711,0.99263,1.39897,0.00120962,0.00120962,0.00120962
99,579.274,0.98379,0.70506,1.14317,0.77012,0.74579,0.82716,0.51066,1.55552,0.9499,1.43099,0.00120491,0.00120491,0.00120491
100,584.99,0.91405,0.6704,1.11772,0.82705,0.6317,0.74223,0.45973,1.53176,0.99121,1.39717,0.00120019,0.00120019,0.00120019
101,590.648,0.9311,0.66441,1.11919,0.82803,0.73276,0.79405,0.48975,1.56138,0.94485,1.41972,0.00119548,0.00119548,0.00119548
102,596.47,0.95808,0.70491,1.1256,0.71197,0.80884,0.79702,0.49607,1.60362,0.98893,1.43769,0.00119076,0.00119076,0.00119076
103,602.404,0.95872,0.6964,1.13405,0.86641,0.71389,0.84199,0.50829,1.5549,0.95168,1.39048,0.00118605,0.00118605,0.00118605
104,608.101,0.95877,0.69168,1.14017,0.76749,0.72185,0.81605,0.50895,1.53007,1.02456,1.40039,0.00118133,0.00118133,0.00118133
105,613.807,0.92591,0.66245,1.12732,0.86575,0.69084,0.80807,0.49255,1.58343,0.97647,1.40908,0.00117662,0.00117662,0.00117662
106,619.492,0.93284,0.66585,1.12017,0.76671,0.79177,0.82329,0.49131,1.61365,0.93781,1.41523,0.0011719,0.0011719,0.0011719
107,625.252,0.9204,0.66238,1.10401,0.82647,0.65147,0.76942,0.46263,1.61378,1.05736,1.43785,0.00116719,0.00116719,0.00116719
108,631.056,0.91109,0.65943,1.10513,0.81218,0.74802,0.81025,0.5078,1.56842,0.89398,1.41252,0.00116247,0.00116247,0.00116247
109,636.83,0.94153,0.67118,1.12246,0.82237,0.6678,0.75688,0.45912,1.60935,1.12281,1.43427,0.00115776,0.00115776,0.00115776
110,642.714,0.91662,0.64483,1.11188,0.83342,0.69597,0.77969,0.48843,1.5452,0.96898,1.41905,0.00115304,0.00115304,0.00115304
111,648.465,0.92763,0.67191,1.12434,0.75407,0.74504,0.79233,0.48851,1.61788,1.01833,1.46027,0.00114832,0.00114832,0.00114832
112,654.104,0.94961,0.67378,1.12232,0.69384,0.76866,0.79675,0.48417,1.53663,0.96105,1.39352,0.00114361,0.00114361,0.00114361
113,659.925,0.93457,0.65254,1.13435,0.7315,0.7348,0.79034,0.49915,1.6016,0.97578,1.44852,0.00113889,0.00113889,0.00113889
114,665.792,0.93667,0.65996,1.13215,0.83684,0.7348,0.80503,0.49764,1.5769,0.94224,1.41799,0.00113418,0.00113418,0.00113418
115,671.595,0.90572,0.63837,1.09528,0.82104,0.73432,0.82438,0.50806,1.55465,0.9373,1.41911,0.00112946,0.00112946,0.00112946
116,677.367,0.93319,0.65584,1.11256,0.80841,0.80696,0.86358,0.52945,1.56124,0.89886,1.41788,0.00112475,0.00112475,0.00112475
117,683.295,0.92059,0.62841,1.10759,0.85482,0.76085,0.85021,0.5075,1.59154,0.95548,1.44017,0.00112003,0.00112003,0.00112003
118,689.091,0.93286,0.67805,1.1353,0.72368,0.76227,0.80101,0.49139,1.58326,0.99238,1.4427,0.00111532,0.00111532,0.00111532
119,694.86,0.91354,0.65025,1.10245,0.74507,0.80696,0.82816,0.47661,1.59974,0.99336,1.44272,0.0011106,0.0011106,0.0011106
120,700.655,0.91503,0.64454,1.10102,0.83282,0.7293,0.80934,0.51228,1.48092,1.00075,1.37808,0.00110589,0.00110589,0.00110589
121,706.239,0.90284,0.64133,1.08829,0.75165,0.86207,0.83952,0.52282,1.5787,0.97139,1.44344,0.00110117,0.00110117,0.00110117
122,711.821,0.90875,0.64854,1.10648,0.81288,0.74029,0.80798,0.48494,1.56291,0.99955,1.39908,0.00109646,0.00109646,0.00109646
123,717.482,0.91948,0.6524,1.10841,0.75918,0.73516,0.81306,0.50763,1.62469,0.97086,1.47057,0.00109174,0.00109174,0.00109174
124,723.17,0.9283,0.6548,1.09919,0.89266,0.71054,0.83213,0.51001,1.60895,1.00342,1.42969,0.00108703,0.00108703,0.00108703
125,729.036,0.92203,0.64506,1.10934,0.8293,0.77363,0.81338,0.49973,1.5712,1.01484,1.41478,0.00108231,0.00108231,0.00108231
126,734.889,0.9038,0.62254,1.08318,0.82666,0.74989,0.81821,0.50602,1.60338,0.9565,1.42546,0.0010776,0.0010776,0.0010776
127,740.651,0.90357,0.61877,1.09019,0.8835,0.78498,0.8306,0.51616,1.60052,0.97432,1.46728,0.00107288,0.00107288,0.00107288
128,746.543,0.89186,0.63637,1.08383,0.81595,0.74904,0.82945,0.52829,1.55038,1.08026,1.41775,0.00106817,0.00106817,0.00106817
129,752.284,0.87205,0.62904,1.08306,0.81928,0.77192,0.80989,0.4999,1.59568,0.994,1.40995,0.00106345,0.00106345,0.00106345
130,758.105,0.89024,0.63027,1.11063,0.75834,0.81424,0.79262,0.51799,1.57467,0.95898,1.44466,0.00105874,0.00105874,0.00105874
131,763.993,0.8774,0.61639,1.06632,0.77135,0.80696,0.82133,0.51771,1.52623,0.96913,1.38092,0.00105402,0.00105402,0.00105402
132,769.861,0.87303,0.62861,1.07115,0.83336,0.75718,0.81948,0.49556,1.54594,0.97795,1.41864,0.00104931,0.00104931,0.00104931
133,775.709,0.87196,0.62882,1.10418,0.80865,0.74652,0.81193,0.49825,1.65586,0.98626,1.48012,0.00104459,0.00104459,0.00104459
134,781.578,0.87405,0.63008,1.09594,0.78192,0.74793,0.79993,0.49911,1.54154,0.96147,1.41244,0.00103987,0.00103987,0.00103987
135,787.437,0.86429,0.59611,1.07001,0.78879,0.79011,0.83741,0.53117,1.51355,0.95094,1.38792,0.00103516,0.00103516,0.00103516
136,793.278,0.88638,0.61602,1.08777,0.74923,0.78873,0.77932,0.46772,1.56852,1.10147,1.41351,0.00103044,0.00103044,0.00103044
137,799.066,0.8612,0.61103,1.08367,0.80675,0.69401,0.72258,0.45873,1.527,1.07167,1.42576,0.00102573,0.00102573,0.00102573
138,804.882,0.88022,0.61464,1.08344,0.88265,0.7348,0.82686,0.52863,1.54011,1.0001,1.42321,0.00102101,0.00102101,0.00102101
139,810.636,0.89108,0.62983,1.08867,0.82501,0.75797,0.81909,0.50879,1.56939,0.91449,1.44671,0.0010163,0.0010163,0.0010163
140,816.495,0.86497,0.60451,1.0787,0.8136,0.76264,0.83767,0.54615,1.51919,0.99508,1.37549,0.00101158,0.00101158,0.00101158
141,822.301,0.86442,0.60667,1.08951,0.81098,0.78462,0.82035,0.49949,1.55304,0.97614,1.40784,0.00100687,0.00100687,0.00100687
142,828.092,0.87365,0.60374,1.07696,0.85915,0.75165,0.83387,0.51514,1.60651,1.02205,1.44168,0.00100215,0.00100215,0.00100215
143,833.947,0.87612,0.59361,1.06852,0.80106,0.72236,0.79006,0.505,1.55563,0.95195,1.41558,0.000997438,0.000997438,0.000997438
144,839.774,0.85258,0.58103,1.06998,0.74826,0.77375,0.83431,0.50694,1.59352,0.98288,1.45018,0.000992722,0.000992722,0.000992722
145,845.59,0.85396,0.58043,1.08251,0.83224,0.74582,0.83905,0.49924,1.59563,0.95094,1.44611,0.000988007,0.000988007,0.000988007
146,851.406,0.87143,0.60418,1.07851,0.76424,0.7855,0.83275,0.52252,1.54674,0.89523,1.39965,0.000983292,0.000983292,0.000983292
147,857.142,0.86032,0.59952,1.077,0.8576,0.75678,0.85653,0.52871,1.52136,0.9316,1.38901,0.000978577,0.000978577,0.000978577
148,862.827,0.884,0.62279,1.08415,0.85208,0.79687,0.8666,0.54488,1.53754,0.91885,1.41277,0.000973861,0.000973861,0.000973861
149,868.601,0.87161,0.58611,1.0784,0.88669,0.66078,0.83928,0.51246,1.60692,0.99606,1.44552,0.000969146,0.000969146,0.000969146
150,874.401,0.86247,0.58957,1.07566,0.91635,0.6271,0.83774,0.52419,1.564,0.98817,1.44293,0.000964431,0.000964431,0.000964431
151,880.234,0.85058,0.57966,1.06966,0.8977,0.663,0.83196,0.50913,1.59827,0.99415,1.46917,0.000959716,0.000959716,0.000959716
152,886.163,0.84908,0.59024,1.06182,0.82378,0.79497,0.86097,0.52715,1.59072,1.00973,1.45648,0.000955,0.000955,0.000955
153,891.999,0.84968,0.58327,1.06287,0.83606,0.70396,0.81491,0.49991,1.62369,0.99304,1.48443,0.000950285,0.000950285,0.000950285
154,897.56,0.83342,0.57739,1.07793,0.7713,0.83031,0.82928,0.51578,1.62362,0.9859,1.49304,0.00094557,0.00094557,0.00094557
155,903.121,0.84028,0.57437,1.05434,0.83416,0.78141,0.83259,0.5423,1.58303,0.95672,1.45087,0.000940855,0.000940855,0.000940855
156,908.619,0.85535,0.59522,1.06556,0.91386,0.80192,0.87904,0.55593,1.55106,0.94101,1.41194,0.00093614,0.00093614,0.00093614
157,914.169,0.85871,0.57712,1.06468,0.85376,0.7851,0.85834,0.5522,1.52382,0.99171,1.3845,0.000931424,0.000931424,0.000931424
158,919.686,0.8548,0.58086,1.05913,0.90726,0.76036,0.84927,0.53523,1.63494,1.02039,1.48075,0.000926709,0.000926709,0.000926709
159,925.238,0.84376,0.58043,1.06396,0.90635,0.7386,0.81755,0.49357,1.60395,1.00653,1.44914,0.000921994,0.000921994,0.000921994
160,930.996,0.83767,0.5698,1.06752,0.88215,0.71832,0.82594,0.50738,1.54668,0.9923,1.40775,0.000917279,0.000917279,0.000917279
161,936.913,0.85641,0.58284,1.06177,0.80658,0.74796,0.80575,0.52888,1.59767,0.94357,1.41815,0.000912563,0.000912563,0.000912563
162,942.993,0.81717,0.56056,1.05036,0.7581,0.82236,0.82713,0.51494,1.60186,1.00061,1.45582,0.000907848,0.000907848,0.000907848
163,948.888,0.79318,0.53966,1.03514,0.90636,0.73986,0.81754,0.50313,1.59898,1.03118,1.43426,0.000903133,0.000903133,0.000903133
164,954.792,0.82067,0.55109,1.04684,0.69124,0.73004,0.78332,0.48877,1.64219,1.11815,1.48228,0.000898418,0.000898418,0.000898418
165,960.849,0.86978,0.59276,1.07043,0.89667,0.70896,0.80291,0.484,1.55849,0.97353,1.4291,0.000893703,0.000893703,0.000893703
166,966.654,0.82055,0.56782,1.05624,0.8139,0.76394,0.79706,0.49419,1.62305,1.00436,1.49168,0.000888987,0.000888987,0.000888987
